InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,140.23862624524477,25.407083619095907,275.6005629904818,149648.4175536383,131069.62438132899,161452.95390614044,0.05715590853023136,3.0111408444775828e-5,0.12489801819878352,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,111.18024645534891,26.603367708479265,275.8994967084195,149243.38510732804,119964.07289901777,168470.325343562,0.015384945354513116,3.28905323874959e-5,0.14689165620214698,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.43201474223,26.603367708479254,265.7202630985752,148875.0101593411,126442.88719836282,166172.50524019258,0.01817331066149119,9.018386791294785e-5,0.09803357211238972,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,113.82750108930159,31.060150842416945,165.29932303760307,149947.74716118284,143319.02676536827,160983.65986338368,0.03128035054318093,0.00018343776592693312,0.058412722564281955,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,109.40680544296333,28.94268544902272,211.87982257359258,148842.61248128043,126532.78369157507,167170.64280590857,0.01923942760386609,9.183315418988558e-5,0.0964858953251618,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,117.66710528785745,37.604863638240104,185.39262215131032,150125.0078214534,141737.30944200067,160344.32594848095,0.030159834460334715,2.682589729225843e-5,0.06913135896055281,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,109.27030659857223,26.603367708479254,231.1865070072495,148489.3759756641,125811.79258293532,168598.81887954666,0.021073224953950767,2.3171552587583712e-5,0.11960930296636282,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,106.29993174055056,26.038172802847257,203.7259154261032,144104.21710966172,134567.0760318708,152807.9032483819,0.01570531190856149,2.009961333064262e-5,0.03936625920026952,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.97362681105876,26.038172802847257,219.86623010048586,157803.0435191505,152254.9233811734,164590.9436852764,0.03290295027200457,0.014191527767272356,0.05108953219610258,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,SA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,110.46570183250232,26.603367708479254,221.41724175467513,148936.41826304232,130227.62474923792,167114.4309191105,0.02076000449526678,1.6586653067766532e-5,0.12562532871974597,122.73673987388611,61.73
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.55280241123691,67.55017699500405,230.39367493513703,143895.35847561326,109512.70108581442,179139.86385779,0.019047839064290046,5.174005343726353e-6,0.08369644881937587,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,123.93262614740321,64.6441158311182,173.66049690219248,144697.16312976144,132770.60240746214,153728.78770611083,0.020292583898472126,3.05521417483728e-6,0.04948337411643912,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,127.67633349026117,97.80907932395846,187.1588321384972,149779.09534761833,141635.59862410976,159615.61126038097,0.017237212422363885,0.00010744454945862845,0.04564440052174659,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,119.92451369998167,64.07058915948585,229.95340790293892,142271.16588160986,127039.90866592732,149981.57825197716,0.040115783170492185,0.01082762289021855,0.0922451909325031,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,127.15121410041766,62.253778103037284,238.97643007539347,152479.58260672062,138953.64874405693,160377.9641379653,0.041635149471261415,0.009581711277042439,0.09616314027014966,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,118.23605658957091,63.550176995004044,226.4633072286396,143302.01950444008,108379.5991398168,180009.9870917228,0.021929788762265815,1.0771186086212471e-5,0.09772321023955408,133.73778009414673,46.4
