InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,116.37618662456306,22.911644037579883,236.16466200877858,156928.41419923122,145899.2787577705,163995.02245231238,13.206203734363955,0.00010827248191038364,99.4373889293704,26.256294012069702,13.29
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,116.37618662456265,46.60336770847925,217.52248229775213,148208.16229176012,131687.5873474211,166637.46383454558,58.504109014399965,0.003974271947611553,217.52248229775213,26.256294012069702,13.29
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.65748200730548,67.132931777464,277.3899156768274,144544.39102758808,107261.75716426228,178263.5093411664,21.02065335415391,0.008563839862713125,250.70112849341575,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.3992954090537,64.07058915948585,197.8548658420067,144615.564229242,132370.43770124495,154046.39143204666,54.79448769679241,0.006668560211168933,185.59386729300928,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.28714594265918,75.70449407836522,166.628957641734,150999.4126586131,138703.75385322166,160273.86315587806,32.58347162420304,0.02323608647788562,152.031706606778,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.65748200730555,67.05020068587496,181.81626820089696,141873.9214041652,133515.32814097498,150204.83110516274,54.11271901259604,0.021547220588210993,181.81626820089696,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.39929540905614,62.774190267519096,189.57990082014413,153796.13108051685,149184.9860110859,163204.66699398507,56.716330880628625,0.05779444472366008,185.62424089473075,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.28714594265861,66.10874881752984,214.26620905952655,143335.83487483807,101108.75430080866,179258.34709172283,46.06595467915541,0.002362663457515138,211.06836801917058,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.22930554629373,67.05020068587496,207.26511005446324,126148.68112971474,109546.12431939691,136443.58192407654,54.75168532147423,0.14924481287556945,151.7866850819757,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.2293055462943,59.94675838075825,188.49076167753086,147367.82022128842,142950.5070092072,151746.13088038037,15.581152805572971,0.0037552805789344097,118.27597835051924,27.475358963012695,14.32
