ExperimentID,FormulationID,Metric,Baseline,Comparison,Observations,Mean,StandardDeviation,StandardError,ConfidenceLow,ConfidenceHigh
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|NONE,MULTISTAGE_RH|LEXMMFSA,10,182521.6430575591,35933.90676089049,11363.299059253748,160249.57690142174,204793.70921369645
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|STATIC_DEMAND_SHARE,MULTISTAGE_RH|PEA,10,117646.20494300267,16248.029883061523,5138.07819209537,107575.57168649574,127716.8381995096
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|STATIC_DEMAND_SHARE,MULTISTAGE_RH|SA,10,181788.49522398383,31519.71834730674,9967.41011844875,162252.37139182427,201324.6190561434
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|STATIC_DEMAND_SHARE,MULTISTAGE_RH|LEXMMFPEA,10,135111.29507276881,25617.945148425784,8101.105564228577,119233.12816688081,150989.46197865682
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|STATIC_DEMAND_SHARE,MULTISTAGE_RH|LEXMMFSA,10,182521.64305755906,35933.90676089048,11363.299059253744,160249.57690142174,204793.7092136964
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|PEA,MULTISTAGE_RH|SA,10,64142.2902809812,17612.35669204275,5569.516211016385,53226.03850738909,75058.5420545733
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|PEA,MULTISTAGE_RH|LEXMMFPEA,10,17465.090129766148,10028.606632945413,3171.3238717979707,11249.295341042125,23680.88491849017
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|PEA,MULTISTAGE_RH|LEXMMFSA,10,64875.43811455638,21390.499670449255,6764.269924770076,51617.46906200703,78133.40716710573
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|SA,MULTISTAGE_RH|LEXMMFPEA,10,-46677.20015121505,9239.867717603029,2921.902726628705,-52404.12949540732,-40950.27080702279
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|SA,MULTISTAGE_RH|LEXMMFSA,10,733.1478335751802,5743.96253694284,1816.4004411418432,-2826.9970310628323,4293.292698213193
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|LEXMMFPEA,MULTISTAGE_RH|LEXMMFSA,10,47410.347984790234,11925.203149622073,3771.0803513019478,40019.03049623842,54801.66547334205
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,DETERMINISTIC_RH|NONE,-,10,255193.7669819057,41264.02524689496,13048.830520687992,229618.05916135723,280769.4748024542
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,-,10,255193.7669819057,41264.02524689497,13048.830520687994,229618.05916135723,280769.4748024542
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,DETERMINISTIC_RH|PEA,-,10,137006.66455246584,26044.270749425134,8235.921556628387,120864.2583014742,153149.07080345746
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,DETERMINISTIC_RH|SA,-,10,75190.79199948674,11311.348531324365,3576.962476698545,68179.94554515759,82201.63845381589
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,DETERMINISTIC_RH|LEXMMFPEA,-,10,119021.06807047587,15811.536603071425,5000.046897282738,109220.9761518017,128821.15998915004
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,DETERMINISTIC_RH|LEXMMFSA,-,10,73769.99153420473,6796.029690183413,2149.0932867108036,69557.76869225156,77982.2143761579
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,TWO_STAGE_RH|NONE,-,10,255194.18662514669,41264.349746560925,13048.933136492433,229618.27767762152,280770.09557267185
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,TWO_STAGE_RH|STATIC_DEMAND_SHARE,-,10,255194.18662514669,41264.34974656093,13048.933136492435,229618.27767762152,280770.09557267185
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,TWO_STAGE_RH|PEA,-,10,137148.88598799618,25733.742881678496,8137.724022724896,121198.94690345539,153098.82507253697
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,TWO_STAGE_RH|SA,-,10,74584.29896216707,10684.199165828666,3378.6404338889624,67962.16371174471,81206.43421258943
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,TWO_STAGE_RH|LEXMMFPEA,-,10,120003.57237888584,15866.892476956202,5017.551961617231,110169.17053411607,129837.97422365562
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,TWO_STAGE_RH|LEXMMFSA,-,9,74594.85353722688,6324.237541762006,2108.0791805873355,70463.0183432757,78726.68873117806
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,MULTISTAGE_RH|NONE,-,10,255180.84773071454,41273.575502742104,13051.850576759423,229599.22060026607,280762.474861163
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,MULTISTAGE_RH|STATIC_DEMAND_SHARE,-,10,255180.84773071454,41273.57550274209,13051.850576759418,229599.22060026607,280762.474861163
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,MULTISTAGE_RH|PEA,-,10,137534.64278771193,27064.59600948515,8558.576734227716,120759.8323886256,154309.45318679826
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,MULTISTAGE_RH|SA,-,10,73392.35250673075,11675.796123804439,3692.2109246987334,66155.61909432123,80629.08591914027
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,MULTISTAGE_RH|LEXMMFPEA,-,10,120069.55265794578,17838.053440954987,5640.887789722165,109013.41259009033,131125.69272580123
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__level,MULTISTAGE_RH|LEXMMFSA,-,10,72659.20467315552,6872.9636601020375,2173.421944148977,68399.29766262352,76919.11168368752
