InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,Iterations,RunTimeSec,ModelSolveTimeSec
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.0402345651527867e-12,4.462208380573429e-12,50,27.00399088859558,16.52
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.8758328224066644e-13,1.5347723092418164e-12,50,53.9475622177124,24.96
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.144329406903126e-13,4.661160346586257e-12,50,73.1874029636383,48.16
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.069544618483633e-13,2.3874235921539366e-12,50,64.3983781337738,36.43
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.888534022029489e-13,4.007461029686965e-12,50,50.62595200538635,27.68
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.547473508864641e-13,1.6484591469634324e-12,50,32.575708866119385,20.87
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.865352482534945e-13,1.3642420526593924e-12,50,35.72402095794678,20.9
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,8.86757334228605e-13,4.206412995699793e-12,50,35.1431360244751,22.78
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2732925824820995e-12,5.5706550483591855e-12,50,32.31162405014038,19.04
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.529532139305957e-13,1.6768808563938364e-12,50,75.057382106781,47.81
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.712763595511206e-13,5.4001247917767614e-12,50,66.89905619621277,39.01
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.2737367544323206e-13,1.4210854715202004e-12,50,67.94668388366699,42.68
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.389644451905042e-13,5.5706550483591855e-12,50,55.41696214675903,29.97
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.3874235921539367e-13,5.115907697472721e-13,50,56.581859827041626,39.9
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5802470443304629e-12,5.4569682106375694e-12,50,18.83901596069336,7.92
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.955857780762017e-13,5.115907697472721e-13,50,35.795483112335205,20.8
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5916157281026244e-12,7.503331289626658e-12,50,40.938759088516235,23.65
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.1548097467748447e-13,2.5579538487363607e-12,50,58.4594030380249,32.24
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.7621459846850485e-13,4.263256414560601e-13,50,69.34356236457825,39.45
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.785327524179593e-13,2.3874235921539366e-12,50,64.95746994018555,41.87
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.604316927725449e-13,3.723243935382925e-12,50,73.84598779678345,46.94
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.343281372915954e-13,1.6484591469634324e-12,50,20.81683111190796,10.34
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.663381206337363e-13,3.751665644813329e-12,50,50.017308950424194,38.79
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.0231815394945443e-13,2.8421709430404007e-13,50,34.88648986816406,21.37
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.094947017729283e-14,2.2737367544323206e-13,50,19.027618169784546,8.91
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.679101716144942e-13,6.0822458181064576e-12,50,71.92418694496155,33.68
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.854872142663226e-13,5.258016244624741e-12,50,58.76396918296814,32.16
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.5422333389287813e-14,3.694822225952521e-13,50,68.79328608512878,35.27
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.844391802791506e-13,7.048583938740194e-12,50,56.06726098060608,33.71
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.777068044058978e-13,3.751665644813329e-12,50,29.49097228050232,14.1
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.9326762412674725e-13,7.673861546209082e-13,50,21.71652889251709,10.17
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.617018127348274e-13,3.467448550509289e-12,50,41.883317947387695,28.42
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.979039320256561e-13,9.663381206337363e-13,50,23.267632007598877,13.25
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5830892152735033e-12,1.5702994460298214e-11,50,62.22054696083069,36.93
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.389821591146756e-12,1.3798739928461146e-11,50,50.78827404975891,19.74
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.2580162446247416e-14,2.2737367544323206e-13,50,60.08899211883545,23.74
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.240074875066057e-13,2.7853275241795927e-12,50,78.84498620033264,26.48
