InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,131.96607343744833,32.49846462004798,367.34077830878573,143983.31227792366,90575.84031838606,185512.70649872225,0.2673651102599365,5.456841197201199e-6,1.6652988928533856,71.77795100212097,27.76
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,115.46910185254637,2.806418982495648,541.9981171362052,148365.44998288568,107146.74964381833,169614.82965989222,0.33017689523228766,5.074128889274734e-5,3.751196094845614,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,143.16396394524702,2.416682446351855,515.0820596954374,146046.3433768901,115462.47921445934,225859.0919682463,0.22439018477914652,8.671866628431065e-5,0.8816238202621783,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,115.11699136595801,17.996955095031534,325.3947857296439,148431.01910659988,137822.73164529697,155939.62650558882,0.399127195198167,2.582309131794028e-5,3.681409775165436,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,115.75632573987804,2.81562312825799,643.8702827394642,148152.6628363723,97566.94351650927,171828.80780257192,0.31836812161490186,2.096169326590837e-5,3.08264431025084,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,144.25194220365887,2.407786835703605,534.8798246945097,147237.566118131,119601.8809711713,227715.41864521446,0.23311797343678944,6.399449833259907e-5,0.9155378423011683,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,115.25575699414073,2.81530520808232,518.2405222547015,147987.7691421483,108262.5586950987,170977.22147227084,0.31665537346682643,4.7040443987502325e-5,3.990705834651113,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,115.41761992900506,2.807039526235362,579.4350700609679,147816.60021934708,106130.26504900352,172026.25727558113,0.32596257371237786,0.00015620812258256575,4.110524276766247,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,120.78618110574392,5.373933380103821,477.5785328097374,154014.95856501043,138221.28318987731,160079.701806548,0.31930177050919234,0.000216491850084082,1.8495455034752413,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,115.44606702562676,2.8189225734842958,537.1382319248154,148396.93582953786,108534.77156453494,171327.13209554992,0.3229972113978511,5.0402268224095566e-5,4.276003094189168,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,115.60972535839896,2.8083626542625675,659.2394391784418,148388.07775400244,104116.78341669605,172025.61265053492,0.3244279208923961,0.00010715190061372293,4.593606561327072,72.95531797409058,46.95
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,138.1085136153574,3.098104437260219e-8,489.49479639851137,126878.98957453387,84419.26775749015,167831.34325129836,0.2923407908412748,7.008471069996612e-5,2.051031620015014,66.03746795654297,32.91
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,140.46810919836724,3.098104437260219e-8,444.11527194607334,129151.29090648057,76930.54955821205,177044.20940957748,0.2876875658427577,2.0175676837813256e-5,1.4926990140948153,66.03746795654297,32.91
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,138.43840047800563,3.098104437260219e-8,393.3209011462483,127491.4077996801,74871.94488485844,183388.08480985253,0.3025165938963289,7.000414756239774e-6,2.2623936851770057,66.03746795654297,32.91
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,135.66338441926214,10.36511790216857,509.6545589583029,151138.62552730087,131589.29805243714,176457.2448105787,0.38358059556836427,0.00021861495839942574,7.182460558287039,66.03746795654297,32.91
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,135.71639254745807,3.098104437260219e-8,777.2247719824921,149324.89372070148,88829.61953755232,190935.12520618533,0.4510984172109986,0.00010823208920479315,4.5555432699431275,66.03746795654297,32.91
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,129.52311562648765,0.9675386366523522,409.51800891743045,139352.4134966455,124579.48064360951,153879.68268452585,0.4152994112801728,0.020982980022722645,1.9294668905653782,66.03746795654297,32.91
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,141.37026895671002,3.098104437260219e-8,467.0280819132612,127031.80962134425,87164.98037808132,168187.4008050593,0.30438059133759787,0.0001958351518196816,1.7102684498779983,66.03746795654297,32.91
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,132.19724286651075,1.8341542271256792,337.5733135048746,144006.18676092828,130455.28488880591,157551.2487846788,0.334374010299525,6.104905532305277e-5,1.7308427004102098,66.03746795654297,32.91
