InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4322238737388558e6,1.4322238737388605e6,1.3439756167261193e6,1.514450690625447e6,0.3239365544054271,4.17507022232222e-6,2.2292557758615725,52.359227895736694,30.84
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4852909339553104e6,1.4852909339553062e6,1.3562919494742458e6,1.625098967547131e6,0.19157606971189003,1.700632413634249e-6,2.394316254307312,41.28775596618652,20.72
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5065753923347134e6,1.5065753923346975e6,1.3955653286300113e6,1.588265161903525e6,0.2901568256249879,0.0,4.268522819122904,46.982730865478516,27.46
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4018061681919724e6,1.4018061681919685e6,1.1931026565339991e6,1.5920843660473488e6,0.5748526713048977,2.948310690176798e-5,8.169060696416956,62.847638845443726,31.7
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,618845.7233618546,618845.7233618548,539548.0882614498,757790.0757471338,0.146908562051123,4.503024032541365e-6,0.9631657418906765,28.822299003601074,15.7
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,733828.768944646,733828.7689446406,672286.5751974462,818553.6999507548,0.10999280122483145,6.197132218230028e-5,0.4403828809129717,20.449925899505615,10.52
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,647446.7437664573,647446.7437664581,529941.9749557999,774040.8699166626,0.19208825459739623,8.221311174374744e-5,2.7066653147147246,20.861804962158203,9.56
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,707203.6575354751,707203.6575354805,585757.3362668594,845073.2872069047,0.21010598886745235,0.0,2.854679070539754,22.114988088607788,11.39
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4034234622778324e6,1.4034234622778217e6,1.3417650629265367e6,1.4808494495817258e6,0.19447284041580473,1.4788008846654267e-6,1.6140932394685992,86.53620505332947,57.41
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.391657897129802e6,1.39165789712979e6,1.2186676337088435e6,1.5662124053453086e6,0.23164463632117485,1.0798253335602358e-5,1.6073419668744722,89.2844307422638,50.43
