InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,AllGridExpectedCost
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,1,154407.7573831847
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,2,205555.98745203676
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,3,153635.10733286213
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,4,159210.50452815427
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,5,160349.2704647725
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,1,153906.6751408968
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2,158328.8065217849
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,3,159357.7276710929
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,4,152868.84423925096
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,5,152286.93272255076
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,1,152329.07253723594
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,2,175864.26284201708
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,3,157361.50591754884
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,4,176795.3507216082
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,5,155389.09426784466
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,1,165157.89268815302
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,2,193256.06649312942
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,3,197195.4167438489
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,4,177399.8683812149
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,5,195424.74535095372
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,1,163782.79906973
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,2,229757.1289328389
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,3,232282.86020185356
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,4,157924.03570625203
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,5,163630.13660562405
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,1,149631.89307717612
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,2,203874.28092785092
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,3,207544.211226777
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,4,148759.90419902216
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,5,207034.69745731293
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,1,152187.03780953487
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,2,148528.6316602097
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,3,217320.67126035065
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,4,220584.4612192517
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,5,163435.78653794044
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,1,179518.04115800234
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,2,177298.57453011823
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,3,153365.1623661574
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,4,146145.68451110774
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,5,178530.02238111553
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,1,153581.38961760746
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,2,151027.43929632832
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,3,152446.0005963137
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,4,154966.17011010417
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,5,437997.2697498861
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1,158143.9356002206
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2,155244.75532039642
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,3,147724.7568710499
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,4,171611.0476040393
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,5,156979.03453727916
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,1,154728.7997423144
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,2,165415.00830767266
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,3,154235.7294525032
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,4,153576.81660460425
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,5,162218.80801147947
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,1,155781.90134756966
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2,156133.24260751653
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,3,167991.16432285687
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,4,144071.974395168
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,5,144256.1907606041
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,1,146135.12688711108
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,2,152541.0000357485
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,3,149975.0408084231
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,4,157599.0023716117
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,5,158546.3486637672
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,1,163621.70725126364
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,2,168604.8973480215
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,3,154998.29937477462
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,4,164615.88531915974
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,5,154695.56764043402
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,1,199743.2504611812
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,2,198208.79711721867
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,3,209659.65810274024
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,4,204441.71404906327
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,5,197577.8337213403
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,1,149151.95367894418
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,2,151384.15101232484
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,3,282102.81168667565
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,4,148873.78384666637
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,5,151141.19704437518
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,1,154544.76247448495
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,2,217859.2244767172
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,3,163569.49639253723
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,4,162452.01654725143
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,5,155083.82162537877
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,1,153007.84930602246
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,2,125508.5428541635
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,3,157760.0590247585
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,4,156394.4344794911
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,5,283712.8713587286
