InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,FairnessGap,AbsFairnessGap,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,171.84876585006714,155.07
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,314.86334323883057,281.84000000000003
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,115.3449079990387,103.53
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,115.3449079990387,103.53
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,115.3449079990387,103.53
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,115.3449079990387,103.53
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,NaN,NaN,115.3449079990387,103.53
