InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,RunTimeSec,ModelSolveTimeSec
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.771957952063531e-9,1.190801413031295e-8,296.96453404426575,270.58
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.825355866458267e-9,9.235009201802313e-9,312.24666023254395,288.82
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1219526641070842e-9,2.837623469531536e-9,62.6030490398407,52.68
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.216861609369517e-10,1.3915268937125802e-9,139.4352421760559,128.8
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4006218407303095e-9,4.642060957849026e-9,86.92894721031189,81.15
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.3820575734134763e-9,4.055436875205487e-9,42.97838878631592,35.82
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5645127859897912e-9,5.589754437096417e-9,499.67627811431885,474.34000000000003
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.97582436259836e-10,2.066371962428093e-9,396.03064584732056,372.46999999999997
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1856172932311892e-9,3.1723175197839737e-9,284.34800004959106,269.84000000000003
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.057598511688411e-9,2.934757503680885e-8,263.1979639530182,241.95
