Method,PctInstances,GapPctVsOpt
Restricted-exact,66.25,1.0816207479294793
Restricted-exact,67.5,1.1034394126458569
Restricted-exact,68.75,1.1113714794350749
Restricted-exact,70.0,1.151922637209002
Restricted-exact,71.25,1.1955610428245889
Restricted-exact,72.5,1.2094114915703225
Restricted-exact,73.75,1.258737764164719
Restricted-exact,75.0,1.2826049262697259
Restricted-exact,76.25,1.3115080003385016
Restricted-exact,77.5,1.3363611484008775
Restricted-exact,78.75,1.4397741688448207
Restricted-exact,80.0,1.4534518221279713
Restricted-exact,81.25,1.4580436328842428
Restricted-exact,82.5,1.472525338988917
Restricted-exact,83.75,1.4929827807071971
Restricted-exact,85.0,1.5011783674654833
Restricted-exact,86.25,1.509341650182039
Restricted-exact,87.5,1.522723012308469
Restricted-exact,88.75,1.536586977598553
Restricted-exact,90.0,1.589806806098637
Restricted-exact,91.25,1.627340185229409
Restricted-exact,92.5,1.7868693013743053
Restricted-exact,93.75,2.1767950643456935
Restricted-exact,95.0,2.315500101717549
Restricted-exact,96.25,2.428864960300925
Restricted-exact,97.5,2.9515529921564143
Restricted-exact,98.75,2.971735173395107
Restricted-exact,100.0,3.4460433017410086
Decomposed,1.25,-10.89098979598796
Decomposed,2.5,-3.667177971497615
Decomposed,3.75,-3.5720408260285996
Decomposed,5.0,-3.080312331721069
Decomposed,6.25,-2.7955063751694875
Decomposed,7.5,-1.9467808625324934
Decomposed,8.75,5.928590951498336e-12
Decomposed,10.0,0.30265001902716193
Decomposed,11.25,0.3403471523967472
Decomposed,12.5,0.43124886225358594
Decomposed,13.750000000000002,0.4775604071953543
Decomposed,15.0,0.8629922764351816
Decomposed,16.25,0.9150007927224202
Decomposed,17.5,0.9319297523547654
Decomposed,18.75,0.9967958367355756
Decomposed,20.0,1.0545355267512546
Decomposed,21.25,1.0678596699449816
Decomposed,22.5,1.0875010406850683
Decomposed,23.75,1.1103569289576898
Decomposed,25.0,1.1313349200605671
Decomposed,26.25,1.159191215011357
Decomposed,27.500000000000004,1.1782740458745389
Decomposed,28.749999999999996,1.223527669070812
Decomposed,30.0,1.2298219228563667
Decomposed,31.25,1.275821380439135
Decomposed,32.5,1.2761350564540308
Decomposed,33.75,1.3354827676687053
Decomposed,35.0,1.3360322228522348
Decomposed,36.25,1.3605716657217437
Decomposed,37.5,1.3716523371008815
Decomposed,38.75,1.3782232199010203
Decomposed,40.0,1.4208481021815267
Decomposed,41.25,1.4306757781449075
Decomposed,42.5,1.4345013840439957
Decomposed,43.75,1.4442330644833579
Decomposed,45.0,1.4704421836823967
Decomposed,46.25,1.5125080588201278
Decomposed,47.5,1.5507021480851257
Decomposed,48.75,1.6051043669751852
Decomposed,50.0,1.6878462325327748
Decomposed,51.24999999999999,1.746295002747944
Decomposed,52.5,1.805252155649173
Decomposed,53.75,1.8182162930770573
Decomposed,55.00000000000001,1.8845580034867915
Decomposed,56.25,1.8894993166372442
Decomposed,57.49999999999999,1.9189584721425623
Decomposed,58.75,2.0055374017378336
Decomposed,60.0,2.078451455241015
Decomposed,61.25000000000001,2.081872248059402
Decomposed,62.5,2.099946420472487
Decomposed,63.74999999999999,2.108212473916815
Decomposed,65.0,2.1257839035588644
Decomposed,66.25,2.1383453608574188
Decomposed,67.5,2.3690769119689925
Decomposed,68.75,2.3819853169849914
Decomposed,70.0,2.3861920472536324
Decomposed,71.25,2.410847659661841
Decomposed,72.5,2.4391988832445533
Decomposed,73.75,2.510780591626438
Decomposed,75.0,2.5137599439499114
Decomposed,76.25,2.5402518723581347
Decomposed,77.5,2.591493546899448
Decomposed,78.75,2.6543504405542873
Decomposed,80.0,2.6680748358454354
Decomposed,81.25,2.702755567915771
Decomposed,82.5,2.852694421993296
Decomposed,83.75,2.8621581318887035
Decomposed,85.0,2.9203032750743985
Decomposed,86.25,2.966874735283498
Decomposed,87.5,3.068409741342082
Decomposed,88.75,3.342038601126429
Decomposed,90.0,3.4697761346710543
Decomposed,91.25,3.4821757757450778
Decomposed,92.5,3.5281543800191217
Decomposed,93.75,4.5091502777962145
Decomposed,95.0,4.607211830206337
Decomposed,96.25,4.801380689319279
Decomposed,97.5,5.918101654752883
Decomposed,98.75,5.9202256304508705
Decomposed,100.0,6.528335238332694
