Method,PctInstances,RunTimeSec
Restricted-exact,32.5,38.584850788116455
Restricted-exact,33.75,38.89584612846375
Restricted-exact,35.0,39.22968101501465
Restricted-exact,36.25,41.02234101295471
Restricted-exact,37.5,41.325661182403564
Restricted-exact,38.75,42.23819398880005
Restricted-exact,40.0,42.87426400184631
Restricted-exact,41.25,43.40330696105957
Restricted-exact,42.5,44.41093587875366
Restricted-exact,43.75,44.64311718940735
Restricted-exact,45.0,47.70721101760864
Restricted-exact,46.25,49.25664615631104
Restricted-exact,47.5,49.63915205001831
Restricted-exact,48.75,49.79452109336853
Restricted-exact,50.0,50.37070322036743
Restricted-exact,51.24999999999999,50.85262608528137
Restricted-exact,52.5,50.86844801902771
Restricted-exact,53.75,51.69146776199341
Restricted-exact,55.00000000000001,51.8400821685791
Restricted-exact,56.25,54.24284315109253
Restricted-exact,57.49999999999999,54.533522844314575
Restricted-exact,58.75,55.65022921562195
Restricted-exact,60.0,58.231154918670654
Restricted-exact,61.25000000000001,58.81370115280152
Restricted-exact,62.5,60.12916111946106
Restricted-exact,63.74999999999999,60.468461751937866
Restricted-exact,65.0,62.41962289810181
Restricted-exact,66.25,63.39425182342529
Restricted-exact,67.5,63.88173604011536
Restricted-exact,68.75,65.20358395576477
Restricted-exact,70.0,65.62455892562866
Restricted-exact,71.25,65.72982001304626
Restricted-exact,72.5,66.60541582107544
Restricted-exact,73.75,67.1229932308197
Restricted-exact,75.0,68.88127517700195
Restricted-exact,76.25,71.16453313827515
Restricted-exact,77.5,71.3982527256012
Restricted-exact,78.75,72.12012481689453
Restricted-exact,80.0,73.63564896583557
Restricted-exact,81.25,74.38911080360413
Restricted-exact,82.5,74.9327609539032
Restricted-exact,83.75,75.76371884346008
Restricted-exact,85.0,77.97217321395874
Restricted-exact,86.25,79.16900110244751
Restricted-exact,87.5,79.50841403007507
Restricted-exact,88.75,79.9588930606842
Restricted-exact,90.0,80.92306613922119
Restricted-exact,91.25,83.82071924209595
Restricted-exact,92.5,84.23004698753357
Restricted-exact,93.75,84.97025609016418
Restricted-exact,95.0,86.90990471839905
Restricted-exact,96.25,90.02696013450623
Restricted-exact,97.5,91.62557220458984
Restricted-exact,98.75,99.45183491706848
Restricted-exact,100.0,103.72426414489746
Decomposed,1.25,18.83901596069336
Decomposed,2.5,19.027618169784542
Decomposed,3.75,20.81683111190796
Decomposed,5.0,21.71652889251709
Decomposed,6.25,22.32791304588318
Decomposed,7.5,22.824578762054443
Decomposed,8.75,23.26763200759888
Decomposed,10.0,25.3757381439209
Decomposed,11.25,26.96773314476013
Decomposed,12.5,27.00399088859558
Decomposed,13.750000000000002,27.11746025085449
Decomposed,15.0,27.12349796295166
Decomposed,16.25,27.938485860824585
Decomposed,17.5,28.11652421951294
Decomposed,18.75,29.49097228050232
Decomposed,20.0,29.886430978775024
Decomposed,21.25,30.100459337234497
Decomposed,22.5,32.31162405014038
Decomposed,23.75,32.575708866119385
Decomposed,25.0,32.89377403259277
Decomposed,26.25,33.039952993392944
Decomposed,27.500000000000004,34.88648986816406
Decomposed,28.749999999999996,35.1431360244751
Decomposed,30.0,35.72402095794678
Decomposed,31.25,35.795483112335205
Decomposed,32.5,36.17044115066528
Decomposed,33.75,36.410573959350586
Decomposed,35.0,37.58298301696777
Decomposed,36.25,40.542304039001465
Decomposed,37.5,40.93875908851624
Decomposed,38.75,41.82749390602112
Decomposed,40.0,41.883317947387695
Decomposed,41.25,41.93197917938232
Decomposed,42.5,43.510318994522095
Decomposed,43.75,46.84230899810791
Decomposed,45.0,50.017308950424194
Decomposed,46.25,50.62595200538635
Decomposed,47.5,50.78827404975891
Decomposed,48.75,50.93526005744934
Decomposed,50.0,51.25713205337525
Decomposed,51.24999999999999,53.9475622177124
Decomposed,52.5,54.718141078948975
Decomposed,53.75,55.41696214675903
Decomposed,55.00000000000001,56.06726098060608
Decomposed,56.25,56.581859827041626
Decomposed,57.49999999999999,58.29192495346069
Decomposed,58.75,58.4594030380249
Decomposed,60.0,58.62377190589905
Decomposed,61.25000000000001,58.76396918296814
Decomposed,62.5,60.08899211883545
Decomposed,63.74999999999999,61.440253019332886
Decomposed,65.0,61.88797688484192
Decomposed,66.25,62.22054696083069
Decomposed,67.5,62.594165086746216
Decomposed,68.75,62.68597912788391
Decomposed,70.0,64.3983781337738
Decomposed,71.25,64.95746994018555
Decomposed,72.5,66.03746795654297
Decomposed,73.75,66.80815124511719
Decomposed,75.0,66.89905619621277
Decomposed,76.25,67.31896185874939
Decomposed,77.5,67.75743103027344
Decomposed,78.75,67.94668388366699
Decomposed,80.0,68.79328608512878
Decomposed,81.25,69.03291702270508
Decomposed,82.5,69.34356236457825
Decomposed,83.75,71.77795100212097
Decomposed,85.0,71.92418694496155
Decomposed,86.25,72.95531797409058
Decomposed,87.5,73.1874029636383
Decomposed,88.75,73.84598779678345
Decomposed,90.0,75.057382106781
Decomposed,91.25,75.61756587028503
Decomposed,92.5,77.03478717803955
Decomposed,93.75,78.84498620033264
Decomposed,95.0,79.570729970932
Decomposed,96.25,81.43538999557495
Decomposed,97.5,86.2114200592041
Decomposed,98.75,90.21816611289978
Decomposed,100.0,102.07913398742676
