InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,3,inst/inst2020,true,70.05017005795285,0.0,735.4379952833593,146574.68424906637,28675.246706213038,180864.8531584219,0.10037527559573341,0.020548297105458146,0.7608457361172238,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,4,inst/inst2020,true,45.372796954567775,0.0,109.67940414817214,158546.43142403898,139534.86725290582,168540.5997071713,0.051143008166533284,5.074095717481945e-5,0.33891738925786824,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,5,inst/inst2020,true,368.00524748636025,0.0,1289.5369972004926,147694.26920245684,102932.027006507,186059.40060584003,0.08020787454324914,1.3435976301451675e-6,0.5499354510028986,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,6,inst/inst2020,true,356.92019788961744,0.0,1179.6056910431564,146663.48489852346,100357.8637290843,193625.01198294255,0.07210662444602782,2.876919286731518e-5,0.5068724935462784,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,7,inst/inst2020,true,391.98865276463164,0.0,1481.024432076548,147579.7272692707,92487.59177402534,186099.12706746376,0.06988845715369991,1.2299399600042541e-5,0.4651921466470467,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,8,inst/inst2020,true,39.895055484347495,0.0,163.08022193739006,137160.1684105425,112855.00016181722,147067.9530050451,0.045301365422725115,4.0557897261532385e-5,0.19899614346195527,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,9,inst/inst2020,true,291.4183697997974,0.0,1174.1049566206602,148299.10606777327,95310.0625542895,191061.123921082,0.08039587912262712,1.1310228089614467e-7,0.5708533099465973,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,mixed,10,1.0,1.0,SA,10,inst/inst2020,true,68.96882560358873,0.0,745.6548559800618,142293.68236046744,23365.602239839838,185145.28763805557,0.1035857340084339,0.0005362194689940225,0.7877811427232414,38.615792989730835,19.4
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,1,inst/inst2020,true,513.6012797599635,14.78504121971148,1653.3104996172985,150052.28805971108,107121.65695121963,176104.2394641841,0.1728178166826082,0.00012700882848872114,1.4645964605999342,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,2,inst/inst2020,true,479.4403517035296,15.010737163300064,3735.4181580238755,150705.29163276203,84030.32506932653,180076.70309409572,0.1718701376137532,0.00017349227630136297,1.3142364326030966,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,3,inst/inst2020,true,169.7853384001496,0.0,1176.647183596701,141554.87335810278,10292.267039677554,1.0453065384438656e7,0.15656371628084131,0.0010923778454189213,2.3292704583618127,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,4,inst/inst2020,true,154.07342892510167,0.0,1194.2737870035,140940.0698729444,11817.7628845529,174695.61861528127,0.1721508734748967,0.002022742042461125,0.9477307559352123,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,5,inst/inst2020,true,431.70558005352785,10.648964539563119,1229.247011144643,150240.07881262698,106221.7707254348,181898.06600388288,0.1750165497645535,0.00016779078080115267,1.2901849468323145,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,6,inst/inst2020,true,169.4814675340748,0.0,1182.404227802364,140165.16422649802,10292.267039677554,1.0363873734359773e7,0.15593875441981075,0.0010923778454190961,2.5929914802683656,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,7,inst/inst2020,true,151.38868738889053,0.0,1197.7993859320277,141456.25908873524,14393.399338846506,2.3959987014967115e6,0.1439616167167869,0.001642085533668304,0.8399093048037016,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,8,inst/inst2020,true,162.59855448398557,0.0,1211.4465142029433,139481.92710537164,10292.267039677554,7.8949551580031e6,0.14971160547345258,0.0034483275925490313,1.7487706642568968,77.21441602706909,58.17
