InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,InstanceID,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
8,Drahi_8.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4803749537283091e6,1.480374953728183e6,1.3591002327784155e6,1.6457470337784397e6,0.6710152264263585,2.5704389479862187e-5,5.8823078949415635,449.71380710601807,442.02
8,Drahi_8.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.5552024462379948e6,1.5552024462380197e6,1.3532501087798823e6,2.1158985492614564e6,3.638749939253848,1.7955229616835704e-5,3373.830935598087,202.2169017791748,190.94
8,Drahi_8.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4810711586023036e6,1.4810711586022147e6,1.284795333561844e6,1.7117619845266799e6,6.789448084837027,9.346402216350432e-6,2409.1467511937085,204.47141194343567,194.97
9,Drahi_9.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,818286.105062271,818286.1050623783,676907.043674374,996791.7328692534,0.4074864544925329,9.332059378168372e-8,2.643939335999511,183.25286388397217,179.81
9,Drahi_9.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,795151.4774495374,795151.4774495669,669646.8910837474,1.002141584846751e6,0.4423777015312956,1.2709963702254353e-5,2.592801802915011,129.3165798187256,125.9
9,Drahi_9.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,948260.3591926111,948260.3591926376,710647.1571995215,1.3864350273797123e6,0.5809194179461903,1.5247855712529821e-5,3.5481673604825335,122.73252892494202,119.22
9,Drahi_9.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,721543.1385074502,721543.1385074647,578701.7422726923,816599.1784513703,3.384859518954588,2.161436577343156e-5,1215.6244205259497,119.16108655929565,115.86
9,Drahi_9.csv,6,6,4,0.2,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.3862373801350158e6,1.386237380135263e6,1.3045515060401508e6,1.4804377760106365e6,0.5086911057222807,1.1858686308017757e-5,2.3168507981308952,324.39626145362854,316.18
9,Drahi_9.csv,6,6,4,0.2,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4264887544073306e6,1.4264887544075032e6,1.2957771685141847e6,1.5599847778207548e6,0.593155147356311,1.438943634715811e-6,4.187105847798674,240.2696659564972,232.73
9,Drahi_9.csv,6,6,4,0.6,100.0,10.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4886866195197995e6,1.488686619519908e6,1.2972091530550665e6,1.629607705909731e6,3.297951261561914,1.5099723684790554e-5,1064.832558154847,747.2438900470734,731.12
9,Drahi_9.csv,6,6,4,0.6,100.0,20.0,mixed,10,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_37324,true,1.4186415793746922e6,1.4186415793746894e6,1.290479299422532e6,1.573773718522949e6,0.6394579419556831,1.434755241423812e-5,10.997106144635248,196.13346147537231,173.74
10,Drahi_10.csv,6,6,4,0.2,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,719697.525654708,719697.5256547271,654782.7922554086,776408.5862148385,0.1636902256426147,9.64211167010467e-7,1.3186642679173686,104.10350823402405,96.99
10,Drahi_10.csv,6,6,4,0.2,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,703543.8180384168,703543.8180384011,632117.6978902146,806898.3767354161,0.31433500479453186,2.6363380238292233e-5,1.6736454162457792,104.43779492378235,97.55
10,Drahi_10.csv,6,6,4,0.6,100.0,10.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,583939.675422872,583939.6754229816,402958.1048232559,773699.7247346137,0.4257380908303015,8.65148995434836e-6,9.0106158124014,251.1861686706543,243.65
10,Drahi_10.csv,6,6,4,0.6,100.0,20.0,mixed,5,1.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_37324,true,733095.6167229138,733095.6167230636,622340.379933784,843994.007956923,0.16429794037535841,7.942013280749777e-6,1.6660154566724736,435.35655188560486,426.84
