ConfigID,RandomInstanceID,TreeSpec,Fairness,ConditionalStage,House,ExpectedPV,ExpectedESS,ExpectedPVPlusESS,ExpectedPSR,ExpectedESR,ExpectedPESR,ExpectedSavings,ExpectedSavingsRate,ExpectedCost,PVShare,ESSShare,PVESSShare,SavingsShare,RunTimeSec,ModelSolveTimeSec
C0004,R004,2:2:12,LEXMMFSA,,5,50.225007218786004,15.20658775495341,65.43159497373941,0.06660324866768443,0.02011640066192209,0.08671964932960652,4030.960352783557,0.02722282986206014,144041.82903791158,0.1656912388830317,0.24778536345043847,0.17951345565380397,0.19980855663665814,0.04958295822143555,0.03
C0005,R005,2:2:12,LEXMMFSA,,1,52.366525818302385,9.09171614842549,61.458241966727876,0.06629366734317896,0.01159160027588643,0.07788526761906539,4144.757450545585,0.02725456946525172,147930.93230965972,0.2077405726496711,0.14933830730002448,0.1963794748524537,0.19979502578407357,0.050993919372558594,0.03
C0005,R005,2:2:12,LEXMMFSA,,2,77.83464729658569,0.0,77.83464729658569,0.10239634244756576,0.0,0.10239634244756576,4166.0184505452635,0.02755554661269778,147020.1840625101,0.3087738578931388,0.0,0.24870752355240616,0.20081989686370014,0.050993919372558594,0.03
C0005,R005,2:2:12,LEXMMFSA,,3,38.788169036144325,19.321232642716257,58.10940167886058,0.050951796555597076,0.025380200697220065,0.07633199725281714,4144.757450545614,0.029630561101093595,135736.40903848995,0.15387456627463708,0.31736584498548387,0.18567881899164737,0.19979502578407496,0.050993919372558594,0.03
C0005,R005,2:2:12,LEXMMFSA,,4,83.08720288965199,9.558767357283742,92.64597024693573,0.11020097401675744,0.01267807118950983,0.12287904520626727,4144.757450545614,0.029738576858873864,135228.335963265,0.32961100318255304,0.15700997630229538,0.29603461475743137,0.19979502578407496,0.050993919372558594,0.03
C0005,R005,2:2:12,LEXMMFSA,,5,0.0,22.90828385157451,22.90828385157451,0.0,0.027823878202575,0.027823878202575,4144.757450545643,0.026251340753410006,153742.70016463334,0.0,0.3762858714121963,0.07319956784606127,0.19979502578407637,0.050993919372558594,0.03
C0007,R002,6:4:4,LEXMMFSA,,1,1278.831010484396,31.940808324095187,1310.7718188084912,1.5507770547440891,0.03872406670826484,1.589501121452354,34755.29448783329,0.22091141072724935,122571.54695244112,0.6491300893557019,0.8943201560594084,0.653495967114538,0.19997226591433412,252.96814584732056,251.87
C0007,R002,6:4:4,LEXMMFSA,,2,169.8052170547238,0.75609375,170.5613108047238,0.2046358493342406,0.00091163009264651,0.20554747942688753,34761.319737824,0.2164585549729463,125829.79084299173,0.08619252646840798,0.02117009293047371,0.08503473080308967,0.20000693352141666,252.96814584732056,251.87
C0007,R002,6:4:4,LEXMMFSA,,3,172.53078038480749,0.75,173.28078038480749,0.21292527430346078,0.0009172817867719844,0.21384255609023234,34761.31973782438,0.2201537034185295,123134.3649499793,0.08757601275666407,0.0209994722186968,0.08639054451358798,0.20000693352141882,252.96814584732056,251.87
C0007,R002,6:4:4,LEXMMFSA,,4,173.69795697321447,1.7621875,175.46014447321448,0.21047760531076262,0.002127515368730579,0.2126051206794936,34761.31973782409,0.2160208143749583,126155.2097105239,0.08816846745702321,0.04934000993384635,0.08747708423179984,0.20000693352141716,252.96814584732056,251.87
C0007,R002,6:4:4,LEXMMFSA,,5,175.20394956915186,0.50609375,175.71004331915185,0.21217011180562803,0.0006475992884599677,0.21281771109408784,34761.3197378234,0.21739395730847744,125138.79969602924,0.08893290396220271,0.014170268857574777,0.08760167333698451,0.20000693352141322,252.96814584732056,251.87
